,cov,sleep
0,0.9847817420959473,0.34
1,0.9778734445571899,0.32
2,0.9925910830497742,0.33
3,0.9880856871604919,0.31
4,0.9870845079421997,0.34
5,0.9962955713272095,0.33
6,1.0,0.3
7,0.9900881052017212,0.36
8,0.9958950877189636,0.29
9,0.9876852035522461,0.34
10,0.9849819540977478,0.33
11,0.9989988207817078,0.32
12,0.9924910068511963,0.32
13,0.997497022151947,0.36
14,0.9793752431869507,0.31
15,0.9809771776199341,0.29
16,0.9994993805885315,0.36
17,0.9898878931999207,0.28
18,0.9991990327835083,0.27
19,0.9927913546562195,0.3
20,0.9872847199440002,0.32
21,0.9824789762496948,0.28
22,0.9863836765289307,0.33
23,0.9998998641967773,0.31
24,0.9951942563056946,0.34
25,0.9912895560264587,0.32
26,0.993992805480957,0.32
27,0.9875851273536682,0.27
28,0.9882859587669373,0.33
29,0.990488588809967,0.31
30,0.9998998641967773,0.29
31,0.9954946041107178,0.32
32,0.999299168586731,0.34
33,0.9912895560264587,0.35
34,0.9977973699569702,0.35
35,0.9826791882514954,0.33
36,0.9912895560264587,0.3
37,0.9858830571174622,0.32
38,0.9969964027404785,0.31
39,0.9979975819587708,0.36
40,1.0,0.36
41,1.0,0.33
42,0.9945935010910034,0.3
43,0.9752703309059143,0.33
44,0.9977973699569702,0.36
45,0.9990988969802856,0.33
46,0.9852823615074158,0.32
47,0.9961954355239868,0.34
48,0.978574275970459,0.3
49,0.989086925983429,0.33
50,0.9848818778991699,0.35
51,0.9885863065719604,0.34
52,0.9893872737884521,0.35
53,0.9818782806396484,0.32
54,0.9902883172035217,0.3
55,0.9915899038314819,0.33
56,0.9993993043899536,0.32
57,0.9866840243339539,0.32
58,0.9915899038314819,0.33
59,0.995794951915741,0.35
60,0.999299168586731,0.34
61,0.9880856871604919,0.31
62,0.9913896918296814,0.31
63,1.0,0.31
64,0.9947937726974487,0.36
65,0.9935923218727112,0.3
66,0.9977973699569702,0.32
67,0.989787757396698,0.32
68,0.9961954355239868,0.3
69,0.99299156665802,0.3
70,0.9955947399139404,0.33
71,0.9996996521949768,0.29
72,0.998297929763794,0.35
73,0.9978975057601929,0.3
74,0.9989988207817078,0.3
75,0.9859831929206848,0.36
76,0.9885863065719604,0.34
77,0.986984372138977,0.34
78,0.9783740639686584,0.31
79,0.9979975819587708,0.33
80,0.9979975819587708,0.33
81,0.9917901754379272,0.35
82,0.9797757267951965,0.33
83,0.9786744117736816,0.34
84,0.9998998641967773,0.34
85,0.9988986849784851,0.31
86,0.9954946041107178,0.31
87,0.9950941205024719,0.34
88,0.9903884530067444,0.35
89,0.9766719937324524,0.31
90,0.9846816062927246,0.33
91,0.9635562896728516,0.31
92,0.9788746237754822,0.34
93,0.9858830571174622,0.32
94,0.9954946041107178,0.3
95,1.0,0.33
96,0.9967961311340332,0.35
97,0.9986984133720398,0.32
98,0.9931918382644653,0.33
99,0.9923908710479736,0.35
100,0.988786518573761,0.33
101,0.9994993805885315,0.33
102,0.9997997879981995,0.32
103,0.9830796718597412,0.31
104,0.9989988207817078,0.29
105,0.9988986849784851,0.34
106,0.9875851273536682,0.31
107,0.9807769060134888,0.32
108,0.9860833287239075,0.34
109,0.9985983371734619,0.33
110,0.9978975057601929,0.32
111,0.9928914904594421,0.35
112,0.9851822257041931,0.27
113,0.9997997879981995,0.31
114,0.9937925338745117,0.31
115,0.995794951915741,0.33
116,0.9968962669372559,0.31
117,1.0,0.3
118,0.9921905994415283,0.33
119,0.9955947399139404,0.32
120,0.9989988207817078,0.34
121,0.9923908710479736,0.32
122,0.9907889366149902,0.32
123,0.9928914904594421,0.36
124,0.9838806390762329,0.31
125,0.9889867901802063,0.35
126,0.9962955713272095,0.35
127,0.9994993805885315,0.36
128,0.9912895560264587,0.35
129,0.9928914904594421,0.3
130,0.9909892082214355,0.32
131,1.0,0.3
132,0.9860833287239075,0.31
133,0.9884861707687378,0.31
134,0.986984372138977,0.32
135,0.9993993043899536,0.31
136,0.998297929763794,0.32
137,1.0,0.35
138,0.9878854751586914,0.34
139,0.9842811226844788,0.33
140,0.986984372138977,0.31
141,0.9934921860694885,0.31
142,0.995794951915741,0.32
143,0.9881858229637146,0.34
144,0.9893872737884521,0.35
145,0.9909892082214355,0.32
146,0.9894874095916748,0.31
147,0.9994993805885315,0.32
148,0.9954946041107178,0.33
149,0.9977973699569702,0.28
150,0.9909892082214355,0.33
151,0.9943932890892029,0.34
152,0.9873848557472229,0.35
153,0.9951942563056946,0.35
154,0.9881858229637146,0.33
155,0.9899879693984985,0.33
156,0.9925910830497742,0.33
157,0.9871846437454224,0.31
158,0.990488588809967,0.31
159,0.9821786284446716,0.32
160,0.9986984133720398,0.28
161,0.9913896918296814,0.33
162,0.9906888008117676,0.3
163,0.9927913546562195,0.34
164,0.9866840243339539,0.31
165,0.9878854751586914,0.33
166,0.9906888008117676,0.31
167,0.9913896918296814,0.3
168,0.9945935010910034,0.34
169,0.9959952235221863,0.33
170,0.9997997879981995,0.35
171,0.9806768298149109,0.34
172,0.9898878931999207,0.34
173,0.9875851273536682,0.32
174,0.9815778732299805,0.3
175,0.9980977177619934,0.3
176,0.9906888008117676,0.32
177,0.9926912188529968,0.33
178,0.999299168586731,0.31
179,0.9997997879981995,0.31
180,0.9900881052017212,0.32
181,0.9945935010910034,0.33
182,0.9864837527275085,0.28
183,0.9988986849784851,0.31
184,0.990488588809967,0.29
185,0.9841810464859009,0.33
186,0.9805766940116882,0.3
187,0.9928914904594421,0.31
188,0.9975970983505249,0.32
189,0.9980977177619934,0.36
190,0.9781737923622131,0.31
191,0.9817781448364258,0.31
192,0.9874849915504456,0.33
193,0.9849819540977478,0.35
194,0.9914897680282593,0.29
195,0.989787757396698,0.29
196,0.9948938488960266,0.33
197,0.9991990327835083,0.29
198,0.989086925983429,0.29
199,0.9756708145141602,0.31
200,0.9988986849784851,0.31
201,0.9997997879981995,0.25
