,cov,sleep
0,0.9979670643806458,0.39
1,0.9990851879119873,0.44
2,0.9976621270179749,0.43
3,0.9982720017433167,0.39
4,0.9980686902999878,0.42
5,0.9993901252746582,0.31
6,0.9994917511940002,0.38
7,0.9997966885566711,0.34
8,0.9990851879119873,0.4
9,0.9965440034866333,0.35
10,0.9995934367179871,0.39
11,0.9988818764686584,0.38
12,0.9995934367179871,0.41
13,0.9992884993553162,0.36
14,0.9980686902999878,0.37
15,0.9992884993553162,0.41
16,0.9980686902999878,0.41
17,0.9980686902999878,0.4
18,0.999898374080658,0.3
19,0.9983736276626587,0.35
20,0.9982720017433167,0.42
21,0.9971538782119751,0.31
22,0.9967473149299622,0.42
23,0.9996950626373291,0.33
24,0.997357189655304,0.43
25,0.9983736276626587,0.37
26,0.9981703758239746,0.34
27,0.999898374080658,0.42
28,0.9988818764686584,0.4
29,0.9978654384613037,0.35
30,0.9954258799552917,0.37
31,0.9990851879119873,0.35
32,0.9992884993553162,0.39
33,0.9985769391059875,0.38
34,0.9975605010986328,0.42
35,0.9995934367179871,0.36
36,0.9987802505493164,0.41
37,0.9983736276626587,0.42
38,0.9989835619926453,0.43
39,0.9989835619926453,0.35
40,0.9986785650253296,0.33
41,0.997458815574646,0.37
42,0.9978654384613037,0.37
43,0.9994917511940002,0.33
44,0.9986785650253296,0.36
45,0.9984753131866455,0.38
46,0.9994917511940002,0.41
47,0.9997966885566711,0.33
48,0.9984753131866455,0.41
49,0.9986785650253296,0.37
50,0.9976621270179749,0.4
51,0.9993901252746582,0.38
52,0.9991868138313293,0.33
53,0.9994917511940002,0.41
54,0.9989835619926453,0.38
55,0.9985769391059875,0.37
56,0.9971538782119751,0.37
57,0.9989835619926453,0.4
58,0.9981703758239746,0.35
59,0.9953242540359497,0.36
60,0.9986785650253296,0.39
61,0.9988818764686584,0.36
62,0.9989835619926453,0.36
63,0.9995934367179871,0.4
64,0.9976621270179749,0.37
65,0.9975605010986328,0.42
66,0.999898374080658,0.38
67,0.9996950626373291,0.39
68,0.9980686902999878,0.36
69,0.9984753131866455,0.41
70,0.9981703758239746,0.37
71,0.9986785650253296,0.35
72,0.9985769391059875,0.35
73,0.9982720017433167,0.36
74,0.9965440034866333,0.39
75,0.9983736276626587,0.35
76,0.9977637529373169,0.39
77,0.997458815574646,0.4
78,0.9991868138313293,0.37
79,0.9990851879119873,0.4
80,0.999898374080658,0.43
81,0.9987802505493164,0.42
82,0.9996950626373291,0.31
83,0.9997966885566711,0.43
84,0.9972555637359619,0.34
85,0.9988818764686584,0.4
86,0.9987802505493164,0.38
87,0.9980686902999878,0.36
88,0.9983736276626587,0.35
89,0.9979670643806458,0.47
90,0.9980686902999878,0.37
91,0.9987802505493164,0.32
92,0.9995934367179871,0.33
93,0.9994917511940002,0.33
94,0.9995934367179871,0.3
95,0.9986785650253296,0.39
96,0.9988818764686584,0.41
97,0.9966456890106201,0.4
98,0.9987802505493164,0.39
99,0.9975605010986328,0.32
100,0.9981703758239746,0.38
101,0.9990851879119873,0.38
102,0.9980686902999878,0.39
103,0.9963406920433044,0.36
104,0.9996950626373291,0.35
105,0.9992884993553162,0.36
106,0.9994917511940002,0.38
107,0.9984753131866455,0.37
108,0.9979670643806458,0.34
109,0.9982720017433167,0.44
110,0.9982720017433167,0.4
111,0.9983736276626587,0.35
112,0.9996950626373291,0.38
113,0.9987802505493164,0.38
114,0.9987802505493164,0.3
115,0.9978654384613037,0.37
116,0.9994917511940002,0.38
117,0.9963406920433044,0.34
118,0.9989835619926453,0.36
119,0.9990851879119873,0.34
120,0.9983736276626587,0.37
121,0.9981703758239746,0.36
122,0.9982720017433167,0.47
123,0.997357189655304,0.37
124,0.9994917511940002,0.41
125,0.9992884993553162,0.46
126,0.9987802505493164,0.37
